BECvar_site,BECvar_seed,HTp_pred
BGxh1,ESSFxvw,0.5647
BGxh1,ICHdk,0.7537
BGxh1,ICHdm,0.7180
BGxh1,ICHdw1,0.7863
BGxh1,ICHdw3,0.7563
BGxh1,ICHdw4,0.8195
BGxh1,ICHmc1,0.6547
BGxh1,ICHmc2,0.7254
BGxh1,ICHmk1,0.7567
BGxh1,ICHmk2,0.7534
BGxh1,ICHmk3,0.7262
BGxh1,ICHmk4,0.6912
BGxh1,ICHmm,0.6544
BGxh1,ICHmw1,0.6840
BGxh1,ICHmw2,0.7144
BGxh1,ICHmw3,0.7151
BGxh1,ICHmw4,0.6493
BGxh1,ICHmw5,0.7284
BGxh1,ICHvc,0.6226
BGxh1,ICHvk1,0.6123
BGxh1,ICHvk2,0.6014
BGxh1,ICHwc,0.5880
BGxh1,ICHwk1,0.6491
BGxh1,ICHwk2,0.7010
BGxh1,ICHwk3,0.6479
BGxh1,ICHwk4,0.6495
BGxh1,ICHxw,0.8569
BGxh1,IDFdc,0.7761
BGxh1,IDFdk1,0.8179
BGxh1,IDFdk2,0.8010
BGxh1,IDFdk3,0.8072
BGxh1,IDFdk4,0.7950
BGxh1,IDFdk5,0.8113
BGxh1,IDFdm1,0.8531
BGxh1,IDFdm2,0.8485
BGxh1,IDFdw,0.7613
BGxh1,IDFmw1,0.8496
BGxh1,IDFmw2,0.8460
BGxh1,IDFww,0.7729
BGxh1,IDFww1,0.8679
BGxh1,IDFxc,0.8891
BGxh1,IDFxh1,0.9078
BGxh1,IDFxh2,0.8885
BGxh1,IDFxh4,0.9177
BGxh1,IDFxk,0.8855
BGxh1,IDFxm,0.8483
BGxh1,IDFxw,0.8809
BGxh1,IMAun,0.4318
BGxh1,IMAunp,0.5269
BGxh1,MHmm1,0.4809
BGxh1,MHmm2,0.5124
BGxh1,MHmmp,0.4416
BGxh1,MHun,0.5178
BGxh1,MHunp,0.3973
BGxh1,MHwh,0.4571
BGxh1,MHwh1,0.4391
BGxh1,MHwhp,0.4163
BGxh1,MSdc1,0.6971
BGxh1,MSdc2,0.6506
BGxh1,MSdc3,0.6612
BGxh1,MSdk1,0.7175
BGxh1,MSdk2,0.7048
BGxh1,MSdm1,0.7380
BGxh1,MSdm2,0.7271
BGxh1,MSdm3,0.7549
BGxh1,MSdv,0.6341
BGxh1,MSmw1,0.6873
BGxh1,MSmw2,0.7249
BGxh1,MSun,0.5933
BGxh1,MSxk1,0.7313
BGxh1,MSxk2,0.7664
BGxh1,MSxk3,0.7115
BGxh1,MSxv,0.6695
BGxh1,PPdh2,0.9037
BGxh1,PPxh1,0.9808
BGxh1,PPxh2,0.9577
BGxh1,PPxh3,0.9210
BGxh1,SBPSdc,0.7513
BGxh1,SBPSmc,0.7345
BGxh1,SBPSmk,0.7448
BGxh1,SBPSxc,0.7497
BGxh1,SBSdh1,0.7443
BGxh1,SBSdh2,0.6312
BGxh1,SBSdk,0.7573
BGxh1,SBSdw1,0.7659
BGxh1,SBSdw2,0.7626
BGxh1,SBSdw3,0.7346
BGxh1,SBSmc1,0.6917
BGxh1,SBSmc2,0.6942
BGxh1,SBSmc3,0.7169
BGxh1,SBSmh,0.7956
BGxh1,SBSmk1,0.6678
BGxh1,SBSmk2,0.6912
BGxh1,SBSmm,0.7047
BGxh1,SBSmw,0.7350
BGxh1,SBSun,0.5662
BGxh1,SBSvk,0.6005
BGxh1,SBSwk1,0.6470
BGxh1,SBSwk2,0.6209
BGxh1,SBSwk3,0.6812
BGxh1,SWBmk,0.5482
BGxh1,SWBmks,0.4912
BGxh1,SWBun,0.5415
BGxh1,SWBuns,0.4955
BGxh1,SWBvk,0.4324
BGxh1,SWBvks,0.3680
BGxh2,BAFAun,0.4665
BGxh2,BAFAunp,0.5552
BGxh2,BGxh1,0.9832
BGxh2,BGxh2,1.0000
BGxh2,BGxh3,0.9914
BGxh2,BGxw1,0.9739
BGxh2,BGxw2,0.9517
BGxh2,BWBSdk,0.7036
BGxh2,BWBSmk,0.6813
BGxh2,BWBSmw,0.7689
BGxh2,BWBSvk,0.5665
BGxh2,BWBSwk1,0.7207
BGxh2,BWBSwk2,0.7102
BGxh2,BWBSwk3,0.6343
BGxh2,CDFmm,0.8133
BGxh2,CMAun,0.4146
BGxh2,CMAunp,0.4748
BGxh2,CMAwh,0.4377
BGxh2,CWHdm,0.7007
BGxh2,CWHds1,0.7360
BGxh2,CWHds2,0.7637
BGxh2,CWHmm1,0.6482
BGxh2,CWHmm2,0.6221
BGxh2,CWHms1,0.6598
BGxh2,CWHms2,0.6401
BGxh2,CWHun,0.7693
BGxh2,CWHvh1,0.5909
BGxh2,CWHvh2,0.5463
