BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh1,IMAun,0.3973
BGxh1,IMAunp,0.4816
BGxh1,MHmm1,0.4589
BGxh1,MHmm2,0.4776
BGxh1,MHmmp,0.4141
BGxh1,MHun,0.4762
BGxh1,MHunp,0.3703
BGxh1,MHwh,0.4442
BGxh1,MHwh1,0.4249
BGxh1,MHwhp,0.4010
BGxh1,MSdc1,0.6345
BGxh1,MSdc2,0.5906
BGxh1,MSdc3,0.6013
BGxh1,MSdk1,0.6596
BGxh1,MSdk2,0.6456
BGxh1,MSdm1,0.6788
BGxh1,MSdm2,0.6630
BGxh1,MSdm3,0.6936
BGxh1,MSdv,0.5738
BGxh1,MSmw1,0.6302
BGxh1,MSmw2,0.6636
BGxh1,MSun,0.5436
BGxh1,MSxk1,0.6653
BGxh1,MSxk2,0.6981
BGxh1,MSxk3,0.6446
BGxh1,MSxv,0.6067
BGxh1,PPdh2,0.8442
BGxh1,PPxh1,0.9407
BGxh1,PPxh2,0.8986
BGxh1,PPxh3,0.8705
BGxh1,SBPSdc,0.6872
BGxh1,SBPSmc,0.6677
BGxh1,SBPSmk,0.6838
BGxh1,SBPSxc,0.6798
BGxh1,SBSdh1,0.6856
BGxh1,SBSdh2,0.5778
BGxh1,SBSdk,0.6918
BGxh1,SBSdw1,0.7094
BGxh1,SBSdw2,0.7027
BGxh1,SBSdw3,0.6733
BGxh1,SBSmc1,0.6373
BGxh1,SBSmc2,0.6332
BGxh1,SBSmc3,0.6539
BGxh1,SBSmh,0.7412
BGxh1,SBSmk1,0.6107
BGxh1,SBSmk2,0.6322
BGxh1,SBSmm,0.6483
BGxh1,SBSmw,0.6803
BGxh1,SBSun,0.5222
BGxh1,SBSvk,0.5572
BGxh1,SBSwk1,0.5978
BGxh1,SBSwk2,0.5695
BGxh1,SBSwk3,0.6225
BGxh1,SWBmk,0.5031
BGxh1,SWBmks,0.4507
BGxh1,SWBun,0.4936
BGxh1,SWBuns,0.4529
BGxh1,SWBvk,0.4062
BGxh1,SWBvks,0.3459
BGxh2,BAFAun,0.4852
BGxh2,BAFAunp,0.5690
BGxh2,BGxh1,0.9951
BGxh2,BGxh2,0.9899
BGxh2,BGxh3,0.9752
BGxh2,BGxw1,0.9486
BGxh2,BGxw2,0.9309
BGxh2,BWBSdk,0.6928
BGxh2,BWBSmk,0.6793
BGxh2,BWBSmw,0.7622
BGxh2,BWBSvk,0.5973
BGxh2,BWBSwk1,0.7233
BGxh2,BWBSwk2,0.7095
BGxh2,BWBSwk3,0.6400
BGxh2,CDFmm,0.8668
BGxh2,CMAun,0.4446
BGxh2,CMAunp,0.5058
BGxh2,CMAwh,0.4854
BGxh2,CWHdm,0.7575
BGxh2,CWHds1,0.7714
BGxh2,CWHds2,0.7797
BGxh2,CWHmm1,0.6954
BGxh2,CWHmm2,0.6624
BGxh2,CWHms1,0.6880
BGxh2,CWHms2,0.6839
BGxh2,CWHun,0.7591
BGxh2,CWHvh1,0.6580
BGxh2,CWHvh2,0.6038
BGxh2,CWHvh3,0.6235
BGxh2,CWHvm1,0.6477
BGxh2,CWHvm2,0.5918
BGxh2,CWHwh1,0.6887
BGxh2,CWHwh2,0.5909
BGxh2,CWHwm,0.6237
BGxh2,CWHws1,0.7218
BGxh2,CWHws2,0.6575
BGxh2,CWHxm1,0.8179
BGxh2,CWHxm2,0.7415
BGxh2,ESSFdc1,0.6852
BGxh2,ESSFdc2,0.7152
BGxh2,ESSFdc3,0.7315
BGxh2,ESSFdcp,0.6166
BGxh2,ESSFdcw,0.6393
BGxh2,ESSFdk1,0.6696
BGxh2,ESSFdk2,0.6433
BGxh2,ESSFdkp,0.5576
BGxh2,ESSFdkw,0.5931
BGxh2,ESSFdv1,0.6843
BGxh2,ESSFdv2,0.6561
BGxh2,ESSFdvp,0.5845
BGxh2,ESSFdvw,0.6226
BGxh2,ESSFmc,0.6469
BGxh2,ESSFmcp,0.5495
BGxh2,ESSFmh,0.7324
BGxh2,ESSFmk,0.6399
BGxh2,ESSFmkp,0.5705
BGxh2,ESSFmm1,0.6133
BGxh2,ESSFmm2,0.6123
