BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh1,CWHmm2,0.0000
BGxh1,CWHms1,0.5477
BGxh1,CWHms2,0.5542
BGxh1,CWHun,0.6103
BGxh1,CWHvh1,0.0000
BGxh1,CWHvh2,0.0000
BGxh1,CWHvh3,0.0000
BGxh1,CWHvm1,0.0000
BGxh1,CWHvm2,0.0000
BGxh1,CWHwh1,0.0000
BGxh1,CWHwh2,0.0000
BGxh1,CWHwm,0.0000
BGxh1,CWHws1,0.5796
BGxh1,CWHws2,0.5077
BGxh1,CWHxm1,0.0000
BGxh1,CWHxm2,0.0000
BGxh1,ESSFdc1,0.5351
BGxh1,ESSFdc2,0.5662
BGxh1,ESSFdc3,0.5822
BGxh1,ESSFdcp,0.4650
BGxh1,ESSFdcw,0.4881
BGxh1,ESSFdk1,0.5178
BGxh1,ESSFdk2,0.4904
BGxh1,ESSFdkp,0.4078
BGxh1,ESSFdkw,0.4417
BGxh1,ESSFdv1,0.5334
BGxh1,ESSFdv2,0.5036
BGxh1,ESSFdvp,0.4346
BGxh1,ESSFdvw,0.4712
BGxh1,ESSFmc,0.4883
BGxh1,ESSFmcp,0.3951
BGxh1,ESSFmh,0.5854
BGxh1,ESSFmk,0.4841
BGxh1,ESSFmkp,0.4176
BGxh1,ESSFmm1,0.4593
BGxh1,ESSFmm2,0.4576
BGxh1,ESSFmmp,0.4080
BGxh1,ESSFmmw,0.4581
BGxh1,ESSFmv1,0.5685
BGxh1,ESSFmv2,0.4821
BGxh1,ESSFmv3,0.4812
BGxh1,ESSFmv4,0.4880
BGxh1,ESSFmvp,0.4235
BGxh1,ESSFmw,0.5115
BGxh1,ESSFmw1,0.5301
BGxh1,ESSFmw2,0.5448
BGxh1,ESSFmwp,0.4436
BGxh1,ESSFmww,0.4941
BGxh1,ESSFun,0.4136
BGxh1,ESSFunp,0.3685
BGxh1,ESSFvc,0.4673
BGxh1,ESSFvcp,0.3853
BGxh1,ESSFvcw,0.4202
BGxh1,ESSFwc2,0.4770
BGxh1,ESSFwc3,0.4305
BGxh1,ESSFwc4,0.4821
BGxh1,ESSFwcp,0.3993
BGxh1,ESSFwcw,0.4318
BGxh1,ESSFwh1,0.5184
BGxh1,ESSFwh2,0.5426
BGxh1,ESSFwh3,0.5031
BGxh1,ESSFwk1,0.5132
BGxh1,ESSFwk2,0.4551
BGxh1,ESSFwm,0.4654
BGxh1,ESSFwm1,0.5129
BGxh1,ESSFwm2,0.4979
BGxh1,ESSFwm3,0.4553
BGxh1,ESSFwm4,0.5388
BGxh1,ESSFwmp,0.4045
BGxh1,ESSFwmw,0.4421
BGxh1,ESSFwv,0.4799
