BECvar_site,BECvar_seed,HTp_pred
BGxh1,ESSFdcp,0.4810
BGxh1,ESSFdcw,0.5062
BGxh1,ESSFdk1,0.5382
BGxh1,ESSFdk2,0.5071
BGxh1,ESSFdkp,0.4127
BGxh1,ESSFdkw,0.4510
BGxh1,ESSFdv1,0.5632
BGxh1,ESSFdv2,0.5275
BGxh1,ESSFdvp,0.4494
BGxh1,ESSFdvw,0.4910
BGxh1,ESSFmc,0.5078
BGxh1,ESSFmcp,0.3998
BGxh1,ESSFmh,0.6133
BGxh1,ESSFmk,0.4999
BGxh1,ESSFmkp,0.4236
BGxh1,ESSFmm1,0.4686
BGxh1,ESSFmm2,0.4684
BGxh1,ESSFmmp,0.4109
BGxh1,ESSFmmw,0.4696
BGxh1,ESSFmv1,0.6015
BGxh1,ESSFmv2,0.4945
BGxh1,ESSFmv3,0.5006
BGxh1,ESSFmv4,0.5053
BGxh1,ESSFmvp,0.4329
BGxh1,ESSFmw,0.5314
BGxh1,ESSFmw1,0.5516
BGxh1,ESSFmw2,0.5730
BGxh1,ESSFmwp,0.4572
BGxh1,ESSFmww,0.5139
BGxh1,ESSFun,0.4170
BGxh1,ESSFunp,0.3669
BGxh1,ESSFvc,0.4764
BGxh1,ESSFvcp,0.3868
BGxh1,ESSFvcw,0.4250
BGxh1,ESSFwc2,0.4893
BGxh1,ESSFwc3,0.4368
BGxh1,ESSFwc4,0.4949
BGxh1,ESSFwcp,0.4024
BGxh1,ESSFwcw,0.4391
BGxh1,ESSFwh1,0.5342
BGxh1,ESSFwh2,0.5647
BGxh1,ESSFwh3,0.5145
BGxh1,ESSFwk1,0.5278
BGxh1,ESSFwk2,0.4642
BGxh1,ESSFwm,0.4805
BGxh1,ESSFwm1,0.5306
BGxh1,ESSFwm2,0.5159
BGxh1,ESSFwm3,0.4630
BGxh1,ESSFwm4,0.5618
BGxh1,ESSFwmp,0.4110
BGxh1,ESSFwmw,0.4527
BGxh1,ESSFwv,0.4931
BGxh1,ESSFwvp,0.4285
BGxh1,ESSFxc1,0.6037
BGxh1,ESSFxc2,0.5851
BGxh1,ESSFxc3,0.5683
BGxh1,ESSFxcp,0.5055
BGxh1,ESSFxcw,0.5238
BGxh1,ESSFxv1,0.5053
BGxh1,ESSFxv2,0.4979
BGxh1,ESSFxvp,0.4347
BGxh1,ESSFxvw,0.4962
BGxh1,ICHdk,0.7073
BGxh1,ICHdm,0.6665
BGxh1,ICHdw1,0.7452
BGxh1,ICHdw3,0.7105
BGxh1,ICHdw4,0.7839
BGxh1,ICHmc1,0.5954
BGxh1,ICHmc2,0.6751
BGxh1,ICHmk1,0.7107
BGxh1,ICHmk2,0.7068
BGxh1,ICHmk3,0.6759
BGxh1,ICHmk4,0.6361
BGxh1,ICHmm,0.5949
BGxh1,ICHmw1,0.6278
BGxh1,ICHmw2,0.6626
BGxh1,ICHmw3,0.6633
BGxh1,ICHmw4,0.5894
BGxh1,ICHmw5,0.6784
BGxh1,ICHvc,0.5598
BGxh1,ICHvk1,0.5485
BGxh1,ICHvk2,0.5366
BGxh1,ICHwc,0.5219
BGxh1,ICHwk1,0.5891
BGxh1,ICHwk2,0.6474
BGxh1,ICHwk3,0.5879
BGxh1,ICHwk4,0.5897
BGxh1,ICHxw,0.8280
BGxh1,IDFdc,0.7328
BGxh1,IDFdk1,0.7814
BGxh1,IDFdk2,0.7617
BGxh1,IDFdk3,0.7691
BGxh1,IDFdk4,0.7546
BGxh1,IDFdk5,0.7738
BGxh1,IDFdm1,0.8230
BGxh1,IDFdm2,0.8177
BGxh1,IDFdw,0.7156
BGxh1,IDFmw1,0.8192
BGxh1,IDFmw2,0.8148
BGxh1,IDFww,0.7295
BGxh1,IDFww1,0.8405
BGxh1,IDFxc,0.8657
BGxh1,IDFxh1,0.8882
BGxh1,IDFxh2,0.8650
BGxh1,IDFxh4,0.9002
BGxh1,IDFxk,0.8614
BGxh1,IDFxm,0.8173
BGxh1,IDFxw,0.8561
BGxh1,IMAun,0.3574
BGxh1,IMAunp,0.4559
BGxh1,MHmm1,0.4083
BGxh1,MHmm2,0.4410
