"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"ICHwk1/06",16.7635860997482,18.9996806043155,20.6497980116272,15,"Cw"
"ICHwk1/06",16.7635860997482,18.9996806043155,20.6497980116272,15,"Cw"
"ICHwk1/07",11.9787163910701,16.5709461953322,19.8889263958033,15,"Cw"
"ICHwk1/07",11.9787163910701,16.5709461953322,19.8889263958033,15,"Cw"
"ICHwk1/07",11.9787163910701,16.5709461953322,19.8889263958033,15,"Cw"
"ICHwk1/08",9.33794206238328,13.9987669477041,16.7635860997482,15,"Cw"
"ICHwk1/08",9.33794206238328,13.9987669477041,16.7635860997482,15,"Cw"
"ICHwk2/01",14.1785312695806,15.5966665929156,17.4747669430913,17.5628568104335,"Cw"
"ICHwk2/02",11.0115723031518,11.0685137592725,11.1254552153932,NA,"Cw"
"ICHwk2/03",11.5929470418252,12.6907324400849,13.7885178383446,NA,"Cw"
"ICHwk2/04",11.0115723031518,13.1452508878223,15.4756331700296,15.9171425955636,"Cw"
"ICHwk2/05",15.4763118879667,16.2565775669479,17.4747669430913,NA,"Cw"
"ICHwk2/06",15.4763118879667,16.2565775669479,17.4747669430913,NA,"Cw"
"ICHwk2/07",17.3903301649029,17.4325485539971,17.4747669430913,18.0271429334368,"Cw"
"ICHwk2/08",11.9522902851035,14.8545470603674,17.0733580442738,NA,"Cw"
"ICHwk3/01",14.1571830763642,15.7628184494096,17.600234526784,18,"Cw"
"ICHwk3/02",10.9949925059447,11.051848227007,11.1087039480693,NA,"Cw"
"ICHwk3/03",13.190754518454,13.368513628391,13.5462727383279,12,"Cw"
"ICHwk3/04",13.5462727383279,14.9262675467079,16.2487647894445,15,"Cw"
"ICHwk3/05",15.278902611728,16.2637874217887,17.600234526784,18,"Cw"
"ICHwk3/06",14.3687880854985,15.8547872694954,17.0476511964029,18,"Cw"
"ICHwk3/07",14.3687880854985,14.8143159608699,15.2598438362414,NA,"Cw"
"ICHwk3/08",8.00395033918567,10.0685718694387,11.9342940767846,NA,"Cw"
"ICHwk3/09",13.8851974226188,14.0042154961542,14.1232335696896,18,"Cw"
"ICHwk4/01",14.7800257824599,15.6949444843653,16.833738263412,NA,"Cw"
"ICHwk4/02",10.5161568030008,11.6501358325644,12.8431778294061,NA,"Cw"
"ICHwk4/03",11.0713752354715,12.9938117681281,14.7793776003424,NA,"Cw"
"ICHwk4/04",12.6162926251158,13.185898878885,13.7434921738796,NA,"Cw"
"ICHwk4/05",12.6162926251158,14.0612279295649,15.5411254976744,NA,"Cw"
"ICHwk4/06",14.6135011511684,14.9163717021185,15.2192422530686,NA,"Cw"
"ICHwk4/07",15.2192422530686,16.2105209915621,16.833738263412,NA,"Cw"
"ICHwk4/08",11.4145514675644,14.1862344289985,16.3052201270085,NA,"Cw"
"IDFdk1/01",10.714731819805,11.5593824504958,13.4168188486737,NA,"Cw"
"IDFdk1/02",8.06559913487395,9.71881878287573,11.307249262717,NA,"Cw"
"IDFdk1/03",6.20257073267549,9.51360879370152,13.4168188486737,NA,"Cw"
"IDFdk1/04",9.61220512756613,11.2255759342129,13.4168188486737,NA,"Cw"
"IDFdk1/05",10.714731819805,13.6509049000741,16.0213379470478,NA,"Cw"
"IDFdk1/06",14.0891760991168,15.9835557915157,17.2486609732125,NA,"Cw"
"IDFdk1/07",10.0057549138007,14.2612947895688,17.2486609732125,NA,"Cw"
"IDFdk2/01",11.6766910329461,12.597173655491,14.621369062303,NA,"Cw"
"IDFdk2/02",6.7594320859786,9.90254264408219,13.7729822878128,NA,"Cw"
"IDFdk2/03",10.4751804625132,12.3326635689466,14.621369062303,NA,"Cw"
"IDFdk2/04",11.6766910329461,14.6069408194216,17.4597195980494,NA,"Cw"
"IDFdk2/05",15.0349400047503,17.0780303381989,18.7972306076722,NA,"Cw"
"IDFdk2/06",14.7460910180446,16.5921631400361,18.7972306076722,NA,"Cw"
"IDFdk2/07",10.9040628029418,15.105536198086,18.7972306076722,15,"Cw"
"IDFdk2/08",10.9040628029418,13.3308173728043,14.9988856008982,NA,"Cw"
"IDFdm1/01",11.8288463463795,13.6088793512126,16.5108303986387,NA,"Cw"
"IDFdm1/02",6.44840752014711,10.5526619089929,15.5528099775436,NA,"Cw"
"IDFdm1/03",7.63292659443552,10.7848814437403,13.9147794240591,NA,"Cw"
"IDFdm1/04",8.94217320922061,11.8723731179633,15.5528099775436,NA,"Cw"
"IDFdm1/05",12.7358653665282,15.7007672892341,18.9465749686988,NA,"Cw"
"IDFdm1/06",15.8188666922107,18.5954950554897,20.9248678237746,NA,"Cw"
"IDFdm1/07",12.3131514448703,17.6913899161139,20.9248678237746,NA,"Cw"
