MergedBGC,Source,SS_NoSpace,SSprob,SSCurrent,FuturePeriod,SiteNo
CWHds1,BECv10,CWHds1/03,0.066666667,ESSFmc/03,2085,50
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,51
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,52
CWHds1,BECv10,CWHds1/03,0.033333333,ICHmc2/02,2055,53
CWHds1,BECv10,CWHds1/03,0.1,ICHmc2/02,2085,53
CWHds1,BECv10,CWHds1/03,0.032432432,ICHmc1/02,2055,54
CWHds1,BECv10,CWHds1/03,0.097297297,ICHmc1/02,2085,54
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,55
CWHds1,BECv10,CWHds1/03,0.033333333,ICHmc2/02,2055,56
CWHds1,BECv10,CWHds1/03,0.1,ICHmc2/02,2085,56
CWHds1,BECv10,CWHds1/03,0.033333333,ICHmc2/02,2055,57
CWHds1,BECv10,CWHds1/03,0.1,ICHmc2/02,2085,57
CWHds1,BECv10,CWHds1/03,0.022988506,ESSFmc/02,2085,58
CWHds1,BECv10,CWHds1/03,0.066666667,ESSFmc/03,2085,58
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,59
CWHds1,BECv10,CWHds1/03,0.1,ICHmc2/02,2085,60
CWHds1,BECv10,CWHds1/03,0.032432432,ICHmc1/02,2055,61
CWHds1,BECv10,CWHds1/03,0.097297297,ICHmc1/02,2085,61
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,62
CWHds1,BECv10,CWHds1/03,0.1,ICHmc2/02,2085,63
CWHds1,BECv10,CWHds1/03,0.032432432,ICHmc1/02,2055,64
CWHds1,BECv10,CWHds1/03,0.097297297,ICHmc1/02,2085,64
